0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
143,209,98,100,58,156,61,188,195,48,139,0,0,218,207,75,147,255,29,173,255,0,76,165,255,130,0,255,6,74,117,71,255,0,147,62,207,255,207,61,0,0,31,179,0,142,0,0,0,0,121,194,0,26,0,68,138,255,0,220,255,0,0,255,228,119,0,51,255,142,136,0,0,255,142,255,255,106,255,0,191,0,255,0,255,0,0,148,21,0,255,0,255,255,159,0,0,0,89,255,11,255,147,255,112,255,0,0,50,0,255,0,255,214,0,255,29,207,255,255,255,0,100,255,7,255,0,255
152,232,100,95,69,140,69,180,204,52,122,0,0,244,235,76,137,255,49,188,255,0,56,206,255,153,0,255,28,112,148,27,255,0,176,66,157,255,205,73,0,12,22,214,0,216,0,0,0,0,162,87,0,114,14,0,117,255,0,228,255,0,0,255,255,57,0,92,255,215,182,0,0,255,179,255,255,58,255,0,198,0,255,0,255,27,8,78,53,0,255,0,255,255,51,0,0,0,74,197,0,255,199,185,47,255,0,0,29,0,255,0,255,240,0,255,84,242,119,255,255,0,155,223,0,255,0,255
153,245,94,76,70,138,70,177,244,75,106,0,0,255,255,64,141,255,60,190,255,0,84,254,255,146,0,255,23,121,138,41,255,0,175,81,163,255,197,84,0,71,31,252,13,200,0,0,0,0,140,25,0,137,51,5,89,251,0,153,255,0,0,255,255,0,0,104,239,201,151,0,0,255,208,242,255,115,255,0,196,0,255,0,255,69,66,127,87,60,255,0,255,255,0,0,0,78,7,187,0,255,160,240,123,255,0,0,49,0,255,0,255,255,0,255,109,147,69,255,255,0,79,159,30,255,0,182
142,248,58,61,52,141,72,216,255,74,87,10,0,219,255,43,159,255,9,113,255,0,155,240,255,139,0,255,0,57,48,106,255,39,167,48,214,255,177,121,0,0,18,164,65,81,0,0,29,0,87,116,0,29,53,74,35,240,0,85,255,0,0,255,236,0,0,101,255,83,51,0,0,255,255,201,255,164,255,0,234,0,255,0,255,101,82,213,211,0,252,0,255,255,125,0,0,0,5,249,0,255,102,255,255,255,0,0,0,0,255,0,255,255,0,255,0,81,255,241,237,0,50,231,110,255,0,255
137,254,46,63,37,153,82,220,255,77,92,2,0,229,255,39,149,255,19,103,255,0,164,246,255,138,0,255,0,50,44,94,255,36,181,45,232,255,215,100,0,0,15,162,74,74,0,0,24,0,114,161,0,0,33,71,51,255,0,91,255,0,0,255,228,0,0,103,255,103,112,0,0,255,255,240,255,152,255,0,255,0,255,0,255,72,71,246,231,0,255,0,255,255,162,0,0,0,14,254,0,255,65,255,255,255,0,0,0,0,255,0,255,255,0,255,0,151,255,225,217,0,88,182,91,255,0,194
142,255,64,69,48,141,65,225,255,66,95,4,0,214,255,55,150,255,23,126,255,0,150,234,255,128,0,255,0,51,70,111,255,21,173,43,202,255,195,109,0,0,18,179,46,99,0,0,8,0,123,129,0,37,52,74,51,255,0,106,255,0,0,255,227,0,0,126,255,121,96,0,0,255,255,243,255,140,255,0,230,0,255,0,255,70,72,213,183,0,255,0,255,255,126,0,0,0,0,248,0,255,142,255,239,255,0,0,0,0,255,0,255,255,0,255,0,123,255,255,255,0,40,190,93,255,0,255
139,255,51,72,35,146,80,216,255,67,88,9,0,230,255,38,159,255,13,118,255,0,167,255,255,149,0,255,0,74,51,92,255,28,174,38,217,255,209,104,0,0,1,159,85,92,0,0,13,0,112,136,0,16,27,52,37,255,0,99,255,0,0,255,241,0,0,113,255,103,123,0,0,255,255,205,255,163,255,0,255,0,255,0,255,88,82,219,230,0,255,0,255,255,138,0,0,0,23,233,0,255,75,255,255,255,0,0,0,0,255,0,255,255,0,255,0,141,255,241,255,0,44,205,109,255,0,198
143,251,47,68,45,142,77,220,255,75,78,16,0,209,255,51,155,255,46,108,255,0,194,238,255,138,0,255,0,98,56,132,255,62,182,45,205,255,233,99,0,0,20,162,103,48,0,0,0,0,121,137,0,32,32,94,52,255,0,98,255,0,0,255,249,0,0,127,255,137,166,0,0,255,255,217,255,208,255,0,255,0,255,0,255,99,129,255,184,0,255,0,255,255,110,0,0,0,0,240,0,255,51,255,255,255,0,0,0,0,255,0,255,255,0,234,0,146,255,187,255,0,0,158,149,255,0,182
144,254,60,82,46,136,66,223,255,55,88,19,0,199,255,59,160,255,20,127,255,0,177,238,255,138,0,255,0,97,72,116,255,35,164,19,186,255,201,112,0,0,0,148,78,87,1,0,7,0,136,140,0,43,36,80,46,255,0,124,255,0,0,255,231,0,0,149,255,157,151,0,0,255,255,199,255,183,255,0,255,0,255,0,255,96,88,244,168,0,240,0,255,247,137,0,0,0,10,214,0,255,119,255,197,255,0,0,0,0,255,0,255,250,0,231,0,137,255,237,255,0,0,225,116,255,0,254
143,255,65,62,43,132,45,231,255,64,86,11,0,211,255,37,168,255,13,138,255,0,139,231,255,144,0,255,0,66,116,79,255,0,195,20,197,255,188,110,0,0,27,197,57,119,0,0,0,0,137,115,0,47,36,0,80,255,0,99,255,0,0,255,205,0,0,56,255,193,62,0,0,255,242,237,255,134,255,0,255,0,255,0,255,23,0,87,189,0,255,0,255,255,108,0,0,0,5,214,0,255,97,255,129,255,0,0,0,0,255,0,255,255,0,255,45,72,224,255,255,0,88,147,92,255,0,255
153,255,73,76,54,132,76,191,255,72,78,0,0,239,255,65,152,255,56,140,255,0,120,245,255,155,0,255,0,135,122,81,255,10,183,50,180,255,205,101,0,44,10,217,65,143,0,0,0,0,130,48,0,111,37,0,82,255,0,147,255,0,0,255,255,0,0,92,248,207,142,0,0,255,255,199,255,153,255,0,240,0,255,0,255,94,66,150,139,0,255,0,255,255,0,0,0,23,0,183,0,255,107,235,153,255,46,0,42,0,255,0,255,255,0,255,51,118,116,255,255,0,73,161,73,255,0,173
149,238,67,73,58,132,70,194,255,70,66,0,0,220,255,42,186,255,6,138,255,0,153,243,255,165,21,255,0,119,98,107,255,16,160,66,189,255,179,86,0,0,19,190,84,103,0,17,0,0,76,57,0,52,22,5,67,193,0,110,255,0,0,255,255,0,0,42,255,121,51,0,0,255,255,163,255,188,220,0,255,0,255,0,255,72,65,151,172,0,224,0,255,255,44,0,0,7,16,254,0,255,48,255,244,244,40,0,12,0,255,0,255,255,0,255,0,50,123,255,255,0,24,255,165,255,0,255
143,255,60,71,33,142,73,226,255,56,97,0,0,233,255,52,153,255,0,116,255,0,139,255,255,138,0,255,0,71,84,83,255,1,190,31,199,255,196,103,0,0,7,204,69,102,0,0,0,0,130,111,0,16,60,29,33,255,0,83,255,0,0,255,224,0,0,143,255,171,91,0,0,255,255,224,255,125,255,0,255,0,255,0,255,50,48,140,215,0,255,0,255,255,127,0,0,0,3,228,0,255,105,255,233,255,0,0,0,0,255,0,255,255,0,255,4,94,255,255,255,0,59,133,89,255,0,232
146,255,65,78,45,132,79,221,255,55,99,7,0,218,255,68,151,255,8,100,255,0,144,255,255,127,0,255,0,84,76,116,255,37,184,21,186,255,193,119,0,0,1,180,86,93,7,0,26,0,126,113,0,37,63,70,25,255,0,110,255,0,0,255,236,0,0,170,255,150,102,0,0,255,255,194,255,133,255,0,255,0,255,0,255,91,66,164,208,0,255,0,255,255,143,0,0,0,4,210,0,255,136,255,237,255,0,0,0,0,255,0,255,235,0,255,0,101,255,255,255,0,38,177,111,255,0,255
144,255,63,67,46,146,76,207,255,75,88,0,0,232,255,58,147,255,34,133,255,0,140,255,255,138,0,255,0,78,82,81,255,18,171,49,199,255,191,101,0,0,6,196,47,115,0,0,0,0,132,100,0,51,51,48,63,255,0,116,255,0,0,255,255,0,0,124,255,160,122,0,0,255,255,237,255,144,255,0,241,0,255,0,255,80,64,188,180,0,255,0,255,255,67,0,0,0,0,207,0,255,112,255,222,255,0,0,0,0,255,0,255,255,0,255,0,121,222,255,255,0,68,187,75,255,0,192
145,249,59,69,51,136,73,208,255,77,68,1,0,218,255,43,169,255,26,128,255,0,172,240,255,164,0,255,0,103,90,96,255,25,184,54,196,255,207,100,0,0,7,188,94,93,0,18,0,0,118,94,0,44,23,9,68,249,0,125,255,0,0,255,249,0,0,79,255,144,106,0,0,255,255,200,255,198,255,0,255,0,255,0,255,77,68,199,200,0,247,0,255,255,57,0,0,0,0,208,0,255,40,255,219,255,59,0,17,0,255,0,255,255,0,255,0,93,164,255,255,0,37,165,134,255,0,202
148,240,76,69,72,140,66,204,255,77,93,0,0,217,247,73,129,255,76,137,255,0,132,194,255,119,0,255,0,91,113,121,255,41,174,66,180,255,221,98,0,0,43,210,20,123,0,0,0,0,129,89,0,123,34,85,78,255,0,160,255,0,0,255,255,0,0,109,255,163,172,0,0,255,223,255,255,123,255,0,195,0,255,0,255,97,123,255,100,0,255,0,255,255,70,0,0,0,0,241,0,255,158,255,148,255,0,0,0,0,255,0,255,213,0,255,13,204,227,255,255,0,64,166,74,255,0,228
137,230,62,73,51,152,69,220,255,59,113,5,0,217,255,47,149,255,7,125,255,0,148,221,255,130,0,255,0,38,67,91,255,27,156,56,217,255,201,88,0,0,25,168,33,101,0,0,30,0,103,167,0,3,20,93,41,255,0,111,255,0,0,255,217,0,0,107,255,102,101,0,0,255,208,255,255,117,255,0,229,0,255,0,255,60,97,230,169,0,233,0,255,255,226,0,0,0,46,255,0,255,133,255,255,255,0,0,0,0,255,0,255,255,0,255,0,191,255,224,255,0,76,222,65,255,0,255
143,233,76,76,59,146,66,207,255,69,111,0,0,232,240,49,139,255,32,156,255,0,140,223,255,136,0,255,0,59,78,74,255,21,127,66,207,255,175,99,0,0,14,183,19,151,0,0,0,0,109,133,0,39,31,90,46,255,0,121,255,0,0,255,214,0,0,125,255,103,121,0,0,255,202,255,255,146,255,0,183,0,255,0,255,93,122,234,161,0,241,0,255,255,149,0,0,0,20,255,0,255,151,255,236,255,0,0,0,0,255,0,255,255,0,255,0,180,255,255,255,0,32,222,58,255,0,249
151,255,75,62,54,143,62,198,255,74,81,2,0,242,255,55,159,255,44,175,255,0,128,255,255,162,0,255,0,121,119,51,255,1,176,65,168,255,183,95,0,61,27,239,41,142,0,22,0,0,119,48,0,94,32,0,80,244,0,130,255,0,0,255,255,0,0,95,240,199,122,0,0,255,255,221,255,183,255,0,233,0,255,0,255,69,66,154,118,40,255,0,255,255,0,0,0,86,0,167,0,255,97,255,121,255,71,0,57,0,255,0,255,255,0,255,125,85,95,255,255,0,55,154,78,255,0,197
150,255,64,64,57,140,73,195,255,72,52,0,0,228,255,53,171,255,72,130,255,0,129,186,255,160,0,255,0,143,114,93,255,0,209,48,176,255,229,103,0,50,41,216,76,124,0,34,0,0,108,43,0,148,6,0,103,211,0,167,255,0,0,255,255,0,0,0,255,176,115,0,0,255,255,191,255,171,249,0,255,0,255,0,255,94,64,158,102,0,255,0,255,255,0,0,0,34,0,189,0,255,49,255,106,241,0,0,28,0,255,0,255,255,0,255,43,139,47,255,255,0,127,196,104,255,0,168
148,255,65,70,52,131,75,197,255,83,63,0,0,243,255,23,168,255,67,133,255,0,145,219,255,167,0,255,0,128,107,73,255,0,193,33,213,255,212,117,0,37,21,218,108,156,0,69,0,0,112,52,0,127,24,0,71,220,0,113,255,0,0,255,255,0,0,0,255,143,107,0,0,255,255,170,255,182,255,0,255,0,255,0,255,123,86,150,219,44,255,0,255,255,11,0,0,35,0,170,0,255,39,255,159,233,90,0,20,0,255,0,255,255,0,255,36,139,90,255,255,0,65,141,117,255,0,127
153,255,76,85,57,129,85,182,248,75,70,0,0,231,251,60,171,255,67,119,255,0,122,216,255,156,0,255,0,158,117,107,255,24,178,41,181,255,202,89,0,53,44,215,88,122,0,34,0,0,90,47,0,110,15,7,79,229,0,137,255,0,0,255,255,0,0,27,244,186,129,0,0,255,255,162,255,171,255,0,243,0,255,0,255,125,113,162,152,0,255,0,255,255,1,0,0,0,0,185,0,255,61,237,177,255,64,0,55,0,255,0,255,255,0,255,55,146,77,255,255,0,60,192,142,255,0,180
154,255,80,76,55,137,69,179,237,70,67,3,0,240,243,55,184,255,86,151,255,0,98,196,255,162,0,255,14,175,130,87,255,0,183,38,169,255,200,92,0,94,57,227,59,162,0,61,0,0,93,30,0,176,9,0,116,200,0,157,255,0,0,255,255,0,0,0,252,201,122,0,0,255,246,158,255,171,255,0,224,0,255,0,255,108,69,106,86,3,255,0,213,255,0,0,0,57,0,154,0,255,71,255,60,255,13,0,71,0,255,0,255,255,0,255,111,161,14,255,255,0,105,245,107,255,0,182
152,255,72,83,66,131,70,185,255,71,60,0,0,225,255,64,151,255,51,142,255,0,124,199,255,148,8,255,0,148,125,86,255,4,172,31,176,255,191,124,0,29,0,193,80,147,0,26,0,0,130,49,0,122,18,0,104,226,0,157,255,0,0,255,255,0,0,43,253,193,134,0,0,255,255,146,255,171,255,0,255,0,255,0,255,125,48,147,140,0,255,0,255,255,0,0,0,5,0,173,0,255,88,224,149,249,65,0,21,0,255,0,255,255,0,255,0,111,84,255,255,0,64,232,109,255,0,208
157,255,76,71,45,135,73,184,255,56,63,0,0,255,255,62,160,255,63,135,255,0,65,214,255,153,0,255,27,168,130,78,255,0,195,26,171,255,200,122,0,96,48,233,62,163,0,7,0,0,77,0,0,175,10,0,92,199,0,141,255,0,0,255,255,0,0,0,221,201,101,0,0,255,255,130,255,116,255,0,235,0,255,0,255,118,57,51,105,26,255,0,244,255,0,0,0,47,0,191,0,255,109,220,132,255,0,0,24,0,255,0,255,255,0,255,53,112,27,255,255,0,165,218,78,255,0,198
154,255,73,81,59,128,82,189,255,58,76,0,0,234,255,57,169,255,45,115,255,0,109,227,255,157,0,255,0,146,113,99,255,0,193,48,174,255,203,83,0,24,31,214,61,144,0,0,0,0,93,33,0,127,42,0,59,215,0,151,255,0,0,255,255,0,0,28,255,168,93,0,0,255,255,176,255,121,249,0,226,0,255,0,255,80,63,104,124,0,255,0,255,255,24,0,0,33,32,230,0,255,87,234,138,255,0,0,0,0,255,0,255,255,0,255,21,141,112,255,255,0,101,232,107,255,0,223
148,247,59,77,56,124,76,212,255,68,70,8,0,205,255,49,163,255,23,125,255,0,182,245,255,166,3,255,0,105,80,102,255,32,186,44,187,255,201,105,0,0,0,163,89,98,4,0,0,0,139,96,0,51,39,14,48,255,0,151,255,0,0,255,236,0,0,125,255,132,134,0,0,255,255,191,255,186,245,0,255,0,255,0,255,80,61,207,205,0,228,0,255,255,67,0,0,0,15,196,0,255,77,255,189,255,47,0,0,0,255,0,255,255,0,220,0,110,176,255,255,0,6,197,142,255,0,225
148,227,76,80,64,135,56,201,254,69,78,20,0,199,255,50,180,255,37,162,255,0,160,207,255,153,0,255,0,122,112,96,255,8,167,41,165,255,198,95,0,0,18,179,61,117,0,7,0,0,131,90,0,92,24,31,88,244,0,144,255,0,0,255,255,0,0,56,255,186,125,0,0,255,253,203,255,194,255,0,255,0,255,0,255,83,78,189,113,0,225,0,255,255,48,0,0,0,0,199,0,255,77,255,121,255,0,0,45,0,255,0,255,255,0,255,18,119,131,255,255,0,1,230,124,255,0,253
156,255,59,56,56,135,80,197,255,84,47,0,0,242,255,71,139,255,93,104,255,0,122,209,255,152,0,255,0,143,113,94,255,32,209,57,179,255,210,118,0,107,46,245,69,112,0,23,0,0,92,14,0,140,31,0,75,242,0,135,255,0,0,255,255,0,0,38,229,212,122,0,0,255,255,197,255,184,255,0,201,0,255,0,255,136,109,203,118,67,255,0,255,255,0,0,0,59,0,176,0,255,66,255,166,255,119,0,47,0,255,0,255,255,0,255,149,90,87,255,255,0,116,118,81,255,0,114
149,255,60,47,39,134,63,220,255,71,60,2,0,239,255,65,164,255,58,114,255,0,131,247,255,123,0,255,0,126,105,134,255,35,218,22,165,255,219,137,0,79,69,244,119,98,0,14,0,0,90,28,0,146,25,10,60,229,0,97,255,0,0,255,255,0,0,68,217,169,86,0,0,255,255,165,255,172,255,0,255,0,255,0,255,117,78,131,155,27,255,0,255,255,0,0,0,38,0,160,0,255,99,255,187,255,95,0,0,0,255,0,255,255,0,255,55,35,90,255,255,0,81,122,149,255,0,222
161,254,112,98,69,122,74,174,251,56,78,0,0,251,253,87,148,255,28,194,255,0,64,212,255,146,0,255,4,115,156,37,255,0,136,77,132,255,131,108,0,126,22,255,41,225,0,41,0,0,129,0,0,64,49,0,80,208,0,160,255,0,0,255,255,0,0,76,161,179,33,0,0,255,255,197,255,127,255,0,168,0,255,0,255,87,80,26,111,0,255,0,255,228,0,0,0,161,0,223,0,255,168,255,207,255,132,0,138,0,255,0,255,229,0,255,212,3,90,255,255,0,61,178,103,255,0,255
